,time,time2,year,month,photo,lightperiod,monthdn,lvl,lvl_stage,temp,total,p_event,p_day,p_total,p_lvl,p_date,b_lvl,b_timecode,barrier,b_total,b_time,barrier2,b_total2,s010,s1120,s2130,s3140,s4150,s50
04/11/2017,0,00:00:00,1,3,4,2,2,5.2,3,,3,1,1,2,8.266,1,5.477,1,0,0,07:00:00,0,2,0,3,0,0,0,0
04/11/2017,1,01:00:00,1,3,4,2,2,5.3,3,,3,1,1,1,8.262,2,5.458,2,0,0,07:15:00,0,3,0,3,0,0,0,0
04/11/2017,2,02:00:00,1,3,4,2,2,5.2,3,,4,1,1,2,8.256,3,5.474,3,0,0,07:30:00,0,5,0,4,0,0,0,0
04/11/2017,3,03:00:00,1,3,4,2,2,5.3,3,,3,1,1,1,8.26,4,5.48,4,0,0,07:45:00,0,3,0,2,1,0,0,0
04/11/2017,4,04:00:00,1,3,4,2,2,5.3,3,,3,1,1,1,8.252,5,5.462,5,0,0,08:00:00,0,4,0,3,0,0,0,0
04/11/2017,5,05:00:00,1,3,4,2,2,5.3,3,,3,1,1,0,8.231,6,5.454,6,0,0,08:15:00,0,2,0,3,0,0,0,0
04/11/2017,6,06:00:00,1,3,1,2,2,5.3,3,,3,1,1,1,8.215,7,5.462,7,0,0,08:30:00,0,4,0,3,0,0,0,0
04/11/2017,7,07:00:00,1,3,1,1,1,5.3,3,,10,1,1,6,8.2,8,5.456,8,0,0,08:45:00,0,7,10,0,0,0,0,0
04/11/2017,8,08:00:00,1,3,1,1,1,5.2,3,,16,1,1,14,8.18,9,5.46,9,0,0,09:00:00,0,5,0,8,8,0,0,0
04/11/2017,9,09:00:00,1,3,2,1,1,5.3,3,,15,1,1,13,8.171,10,5.45,10,0,0,09:15:00,0,8,0,15,0,0,0,0
04/11/2017,10,10:00:00,1,3,2,1,1,5.2,3,,19,1,1,9,8.16,11,5.456,11,0,0,09:30:00,0,8,19,0,0,0,0,0
04/11/2017,11,11:00:00,1,3,2,1,1,5.3,3,,19,1,1,8,8.157,12,5.46,12,0,0,09:45:00,0,5,15,4,0,0,0,0
